date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-06-2025,Karnataka,Bengaluru Urban,560098,52,18,19
01-06-2025,Karnataka,Bengaluru Urban,560029,67,27,19
01-06-2025,Karnataka,Bengaluru Urban,560045,329,120,24
01-06-2025,Karnataka,Bengaluru Urban,560084,83,40,13
01-06-2025,Karnataka,Bengaluru Urban,560064,313,156,44
01-06-2025,Karnataka,Bengaluru Urban,560068,278,231,167
01-06-2025,Karnataka,Bengaluru Urban,560016,188,128,80
01-06-2025,Karnataka,Bengaluru Urban,560103,45,61,96
01-07-2025,Karnataka,Bengaluru Urban,560068,394,263,147
01-07-2025,Karnataka,Bengaluru Urban,562157,42,13,14
01-07-2025,Karnataka,Bengaluru Urban,560058,186,62,19
01-07-2025,Karnataka,Bengaluru Urban,560077,217,136,89
01-07-2025,Karnataka,Bengaluru Urban,560004,109,55,11
01-07-2025,Karnataka,Bengaluru Urban,560048,106,83,51
01-07-2025,Karnataka,Bengaluru Urban,560001,61,30,14
01-07-2025,Karnataka,Bengaluru Urban,562106,113,34,11
01-07-2025,Karnataka,Bengaluru Urban,560037,121,137,142
09-03-2025,Karnataka,Bengaluru Urban,560043,14,33,39
20-03-2025,Karnataka,Bengaluru Urban,560037,20,16,17
20-03-2025,Karnataka,Bengaluru Urban,560068,56,20,16
01-06-2025,Karnataka,Bengaluru Urban,560010,93,31,28
01-06-2025,Karnataka,Bengaluru Urban,560091,268,87,29
01-06-2025,Karnataka,Bengaluru Urban,560092,68,33,24
01-06-2025,Karnataka,Bengaluru Urban,560047,108,62,10
01-06-2025,Karnataka,Bengaluru Urban,560058,131,42,23
01-06-2025,Karnataka,Bengaluru Urban,560035,97,86,122
01-07-2025,Karnataka,Bengaluru Urban,560008,78,42,26
01-07-2025,Karnataka,Bengaluru Urban,560092,52,26,32
01-07-2025,Karnataka,Bengaluru Urban,560041,81,38,13
01-07-2025,Karnataka,Bengaluru Urban,560076,253,154,52
01-07-2025,Karnataka,Bengaluru Urban,560099,127,92,22
01-07-2025,Karnataka,Bengaluru Urban,560103,62,76,45
01-07-2025,Karnataka,Bengaluru Urban,560017,47,49,16
01-07-2025,Karnataka,Bengaluru Urban,560064,311,119,65
01-07-2025,Karnataka,Bengaluru Urban,560032,318,106,30
01-07-2025,Karnataka,Bengaluru Urban,560035,105,97,83
09-03-2025,Karnataka,Bengaluru Urban,560016,14,16,21
20-03-2025,Karnataka,Bengaluru Urban,560035,16,10,13
20-03-2025,Karnataka,Bengaluru Urban,560036,28,12,13
09-03-2025,Karnataka,Bengaluru Urban,560068,14,17,35
09-03-2025,Karnataka,Bengaluru Urban,560032,21,14,10
20-03-2025,Karnataka,Bengaluru Urban,560043,49,16,28
01-06-2025,Karnataka,Bengaluru Urban,560001,40,23,12
01-06-2025,Karnataka,Bengaluru Urban,560062,140,71,22
01-06-2025,Karnataka,Bengaluru Urban,560024,55,36,20
01-06-2025,Karnataka,Bengaluru Urban,560036,142,144,44
01-06-2025,Karnataka,Bengaluru Urban,560048,80,59,85
01-06-2025,Karnataka,Bengaluru Urban,560094,81,40,16
01-06-2025,Karnataka,Bengaluru Urban,560078,156,118,31
01-06-2025,Karnataka,Bengaluru Urban,560066,149,121,93
01-06-2025,Karnataka,Bengaluru Urban,560005,76,41,24
01-07-2025,Karnataka,Bengaluru Urban,560093,52,30,32
01-07-2025,Karnataka,Bengaluru Urban,560010,106,48,24
01-07-2025,Karnataka,Bengaluru Urban,560061,199,97,20
01-07-2025,Karnataka,Bengaluru Urban,560046,54,25,10
01-07-2025,Karnataka,Bengaluru Urban,560085,147,62,13
01-07-2025,Karnataka,Bengaluru Urban,560100,217,178,51
01-07-2025,Karnataka,Bengaluru Urban,560045,446,165,24
01-07-2025,Karnataka,Bengaluru Urban,560016,208,90,64
01-06-2025,Karnataka,Bengaluru Urban,560100,174,160,57
01-06-2025,Karnataka,Bengaluru Urban,560093,34,46,43
01-06-2025,Karnataka,Bengaluru Urban,560008,63,37,15
01-06-2025,Karnataka,Bengaluru Urban,560102,56,57,50
01-06-2025,Karnataka,Bengaluru Urban,560085,115,49,13
01-06-2025,Karnataka,Bengaluru Urban,560097,165,84,14
01-06-2025,Karnataka,Bengaluru Urban,560099,114,76,24
01-06-2025,Karnataka,Bengaluru Urban,560032,249,88,25
01-07-2025,Karnataka,Bengaluru Urban,560075,49,57,23
01-07-2025,Karnataka,Bengaluru Urban,560038,48,25,30
01-07-2025,Karnataka,Bengaluru Urban,560102,80,70,57
01-07-2025,Karnataka,Bengaluru Urban,560027,60,37,15
01-07-2025,Karnataka,Bengaluru Urban,560043,228,202,116
01-07-2025,Karnataka,Bengaluru Urban,560091,305,91,12
01-07-2025,Karnataka,Bengaluru Urban,560036,188,111,46
01-07-2025,Karnataka,Bengaluru Urban,560005,89,46,15
01-07-2025,Karnataka,Bengaluru Urban,560084,96,51,19
01-07-2025,Karnataka,Bengaluru Urban,560034,37,28,19
01-07-2025,Karnataka,Bengaluru Urban,560097,159,64,24
01-06-2025,Karnataka,Bengaluru Urban,560075,46,41,30
01-06-2025,Karnataka,Bengaluru Urban,560038,28,22,20
01-06-2025,Karnataka,Bengaluru Urban,560061,143,89,24
01-06-2025,Karnataka,Bengaluru Urban,560037,124,137,168
01-06-2025,Karnataka,Bengaluru Urban,560076,159,136,57
01-06-2025,Karnataka,Bengaluru Urban,560077,172,148,82
01-06-2025,Karnataka,Bengaluru Urban,560034,28,14,11
01-06-2025,Karnataka,Bengaluru Urban,562125,125,72,12
01-06-2025,Karnataka,Bengaluru Urban,560043,228,192,148
01-07-2025,Karnataka,Bengaluru Urban,560066,152,142,92
01-07-2025,Karnataka,Bengaluru Urban,560029,127,74,20
01-07-2025,Karnataka,Bengaluru Urban,560024,44,26,21
01-07-2025,Karnataka,Bengaluru Urban,560062,220,101,22
01-07-2025,Karnataka,Bengaluru Urban,562125,149,81,25
01-07-2025,Karnataka,Bengaluru Urban,560047,158,67,15
01-07-2025,Karnataka,Bengaluru Urban,560078,339,172,36
20-03-2025,Karnataka,Bengaluru Urban,560066,19,13,11
20-03-2025,Karnataka,Bengaluru Urban,560100,28,13,11
20-03-2025,Karnataka,Bengaluru Urban,560077,30,12,17
